broker,scenario,message_size_bytes,target_rate_msg_sec,duration_sec,producers,consumers,sent,consumed,send_errors,consume_errors,errors_total,lost_messages,messages_per_sec,latency_avg_ms,latency_p95_ms,latency_max_ms,max_backlog,cpu_avg_percent,cpu_max_percent,ram_avg_percent,ram_max_percent,degraded
rabbitmq,baseline,1024,5000,10,1,1,35248,35248,0,0,0,0,793.57,18254.138,32805.626,34353.23,29822,8.8,20.7,13.57,14.3,YES
rabbitmq,size_impact,128,5000,10,1,1,27713,27713,0,0,0,0,757.35,14933.504,25462.298,26530.161,22420,9.84,24.2,13.57,14.0,YES
rabbitmq,size_impact,1024,5000,10,1,1,34532,34532,0,0,0,0,775.13,18317.685,32693.532,34487.304,29473,9.3,23.9,13.55,14.2,YES
rabbitmq,size_impact,10240,5000,10,1,1,37639,33216,0,0,0,4423,663.85,22765.234,39465.472,41284.37,34890,9.28,23.3,14.68,15.4,YES
rabbitmq,size_impact,102400,5000,10,1,1,499,499,0,0,0,0,24.09,5629.425,9697.494,10070.109,271,8.93,15.9,14.43,14.8,YES
rabbitmq,rate_impact,1024,1000,10,1,1,517,517,0,0,0,0,48.95,32.02,54.611,84.809,1,8.51,15.4,14.0,14.1,YES
rabbitmq,rate_impact,1024,5000,10,1,1,527,527,0,0,0,0,50.38,30.937,51.404,68.336,1,8.29,14.2,13.87,13.9,YES
rabbitmq,rate_impact,1024,10000,10,1,1,516,516,0,0,0,0,48.69,32.898,54.17,101.428,2,9.44,14.8,13.76,13.8,YES
redis,baseline,1024,5000,10,1,1,932,932,0,0,0,0,75.57,82.789,185.964,219.649,16,7.38,14.6,13.42,13.7,YES
redis,size_impact,128,5000,10,1,1,928,928,0,0,0,0,75.2,73.832,184.319,257.479,17,8.17,14.6,12.93,13.1,YES
redis,size_impact,1024,5000,10,1,1,921,921,0,0,0,0,74.96,92.564,169.116,225.987,16,7.48,11.2,12.84,12.9,YES
redis,size_impact,10240,5000,10,1,1,487,487,0,0,0,0,39.62,21.419,34.438,55.462,0,7.46,11.6,12.86,12.9,NO
redis,size_impact,102400,5000,10,1,1,467,467,0,0,0,0,38.08,27.22,42.445,97.162,0,9.18,15.6,12.76,12.9,NO
redis,rate_impact,1024,1000,10,1,1,992,992,0,0,0,0,78.23,293.083,614.364,671.79,59,7.52,14.9,12.8,12.8,YES
redis,rate_impact,1024,5000,10,1,1,939,939,0,0,0,0,76.74,109.951,238.726,290.994,26,7.58,16.1,12.9,12.9,YES
redis,rate_impact,1024,10000,10,1,1,953,953,0,0,0,0,75.73,244.087,441.166,545.24,52,8.32,15.1,12.89,12.9,YES
